"MINSAN";"DESCRIZIONE";"PP*1000";"CATEGORIA";"GIAC";"IVA";"P.P."
"908010059    ";"ACQUA OSSIGENATA 10VOL 3% 100G";900;"Sostanze preconf. per vendita ";3;10;0,00
"908010352    ";"ACQUA OSSIGENATA 24VOL 100ML  ";1900;"Prodotti capelli e cuoio cap. ";1;22;0,00
"908010655    ";"ACQUA OSSIGENATA 36VOL 100ML  ";1900;"Prodotti capelli e cuoio cap. ";1;22;0,00
"909089031    ";"ACQUA SIRMIONE MIN NAT 15ML 6F";11700;"Prodotti viso, trattamento    ";3;22;0,00
"904369749    ";"ACQUA TERMALE SPRAY 300ML+50ML";11900;"Prodotti viso, trattamento    ";2;22;0,00
"937413021    ";"ACQUASAL SPRAY 100ML          ";12700;"Prodotti sanitari             ";1;22;0,00
"904568110    ";"ACROMIL CANOVA EMULS 50ML     ";35600;"Prodotti viso, trattamento    ";2;22;0,00
"930577402    ";"ACTENACOL GOCCE 12ML          ";11000;"Integratori alimentari";1;10;0,00
"904356072    ";"ACTI FIBRA 12BUST             ";12500;"Integratori alimentari";3;10;0,00
"932714138    ";"ACTICAND 30 8CRP VAGINALI     ";20160;"Prodotti sanitari             ";1;22;0,00
"933950279    ";"ACTIDERMA CREMA 75ML          ";14800;"Prodotti per il corpo         ";1;22;0,00
"905735496    ";"ACUTIL MULTIVIT FAST ENERGY40G";11900;"Integratori alimentari";1;10;0,00
"924274095    ";"ACUVAL AUDIO 14BUST 2,4G      ";22000;"Integratori alimentari";2;10;0,00
"924522802    ";"ACUVAL VERT 20CPR 1,2G        ";22000;"Integratori alimentari";1;10;0,00
"921787382    ";"ADAPTIL COLLARE 45CM          ";33000;"Presidi medico-chirurgici     ";1;22;0,00
"934027602    ";"ADIPEMED NOCARB 60CPR         ";27900;"Prodotti sanitari             ";13;10;0,00
"934027588    ";"ADIPEMED NOFAT 60CPR          ";27900;"Prodotti sanitari             ";3;10;0,00
"934027576    ";"ADIPEMED SATIETY 60CPR        ";27900;"Prodotti sanitari             ";3;10;0,00
"902558016    ";"AERIS 30CPS                   ";7200;"Integratori alimentari";3;10;0,00
"907161689    ";"AERIS TISANA 20FILT           ";6200;"Erboristeria salut. preconf.  ";2;10;0,00
"906240813    ";"AEROCHAMBER PLUS MASK AD BLU  ";41170;"Ausili sanitari               ";1;22;0,00
"906240837    ";"AEROCHAMBER PLUS MASK INFANT A";41170;"Ausili sanitari               ";1;22;0,00
"906240864    ";"AEROCHAMBER PLUS PED C/MASC GI";41170;"Ausili sanitari               ";2;22;0,00
"906240799    ";"AEROCHAMBER PLUS STAND        ";29990;"Ausili sanitari               ";1;22;0,00
"904902929    ";"AEROSOL MONDIAL NEW T 600     ";52900;"Accessori agli art. sanitari  ";3;22;0,00
"906103611    ";"AFLOVAG CR GINECOL TUBO 30G   ";13000;"Prodotti per il corpo         ";1;22;0,00
"904086384    ";"AFLOVAG LAV INT 5X100ML       ";15500;"Prod.per igiene int.uso inter.";1;22;0,00
"904733363    ";"AFTAMED COLLUTORIO 150ML      ";10800;"Prodotti sanitari             ";2;22;0,00
"904733387    ";"AFTAMED GEL 15ML              ";10800;"Prodotti sanitari             ";1;22;0,00
"904733413    ";"AFTAMED SPRAY 20ML            ";12800;"Prodotti sanitari             ";1;22;0,00
"938050883    ";"AFTIR PETTINE                 ";9000;"Prodotti capelli e cuoio cap. ";6;22;0,00
"905353645    ";"AFTIR SHAMPOO 150ML           ";13500;"Prodotti capelli e cuoio cap. ";1;22;0,00
"908018031    ";"AGEDIN CR VISO 30ML           ";32300;"Prodotti viso, trattamento    ";2;22;0,00
"938602570    ";"AGEDIN SIE IDROTENS 30ML      ";42800;"Prodotti viso, trattamento    ";1;22;0,00
"930851567    ";"AGENIN 3 20CPS SOFTGEL        ";19800;"Integratori alimentari";2;10;0,00
"900530116    ";"AGO CANNULA RACCORDO PERM CH14";3400;"Accessori ai pmc              ";2;22;0,00
"900530155    ";"AGO CANNULA RACCORDO PERM CH18";3400;"Accessori ai pmc              ";1;22;0,00
"924294933    ";"AGO MIRAGE G21X3/4            ";850;"Accessori ai pmc              ";5;22;0,00
"909185985    ";"AGO NEOLUS G18X1 1/2 REG 100PZ";5600;"Accessori ai pmc              ";20;22;0,00
"926557036    ";"AKA KIT ANTIACARO 500ML+DIS EL";29900;"Presidi medico-chirurgici     ";11;22;0,00
"906517723    ";"AL 110 LATTE POLVERE 400G     ";21400;"Prodotti dietetici            ";1;10;0,00
"938222104    ";"ALA600 SOD 20CPR              ";24900;"Integratori alimentari";1;10;0,00
"900169246    ";"ALANERV 920MG 20CPS           ";18900;"Integratori alimentari";1;10;0,00
"931644696    ";"ALANERV ON 20CPS              ";19900;"Integratori alimentari";1;10;0,00
"932182215    ";"ALCOOL ETILICO DENAT 94% UE250";1600;"Sostanze materie prime uso lab";2;22;0,00
"900472768    ";"ALFA NATURA 10FL MONODOSE     ";4900;"Prodotti sanitari             ";1;22;0,00
"931097339    ";"ALFACTIV OFT 40CPS            ";26000;"Integratori alimentari";1;10;0,00
"908017775    ";"ALGASIV ADES PROTESI INF 15PZ ";9650;"Materiale per protesi         ";3;22;0,00
"908017763    ";"ALGASIV ADES PROTESI SUP 15PZ ";9650;"Materiale per protesi         ";3;22;0,00
"921197669    ";"ALGENIL CREMA 50ML            ";17800;"Prodotti per il corpo         ";1;22;0,00
"920585155    ";"ALICALM 400G VP               ";25800;"Prodotti dietetici            ";1;10;0,00
"908507179    ";"ALITO FRESCO BALSAM 18ML      ";5000;"Prodotti igiene dentale       ";2;22;0,00
"931646653    ";"ALIVYO PLUS DETERGENTE INTIMO ";15500;"Prodotti igiene del corpo     ";1;22;0,00
"909724736    ";"ALKAGIN 200ML                 ";10900;"Prodotti igiene del corpo     ";1;22;0,00
"909724825    ";"ALKAGIN 500ML                 ";21900;"Prodotti igiene del corpo     ";1;22;0,00
"908646969    ";"ALKAGIN GEL 30ML              ";13900;"Prodotti igiene del corpo     ";1;22;0,00
"901156758    ";"ALKAGIN POLVERE INTIMA 100G   ";9200;"Prod.per igiene int.uso inter.";1;22;0,00
"902322724    ";"ALLERDEP 150ML                ";15000;"Integratori alimentari";1;10;0,00
"901603821    ";"ALLEVYN ADHESIVE 7,5X7,5CM 3ME";13430;"Prodotti sanitari             ";1;22;0,00
"902816848    ";"ALOE PURO SUCCO 500ML         ";15300;"Erboristeria salut. preconf.  ";1;22;0,00
"902816747    ";"ALOE PURO SUCCO MIRT RO 500ML ";15500;"Erboristeria salut. preconf.  ";2;10;0,00
"930245802    ";"ALOE VERA GEL PURO 100ML      ";9000;"Prodotti per il corpo         ";2;22;0,00
"938166067    ";"ALOE VERA SUCCO 1000ML OFS    ";19500;"Erboristeria salut. preconf.  ";2;10;0,00
"938166143    ";"ALOE VERA SUCCO MIRT 1000MLOFS";19500;"Erboristeria salut. preconf.  ";2;10;0,00
"900892771    ";"ALOE ZINC 20 CANOVA EMULS LE75";14300;"Prodotti viso, trattamento    ";2;22;0,00
"922864133    ";"ALOE ZINC 20CANOVA MOUSSE100ML";19300;"Prodotti per il corpo         ";2;22;0,00
"903933036    ";"ALOEDEP GEL 200ML             ";18000;"Prodotti per il corpo         ";1;22;0,00
"931051559    ";"ALOEDERMAL INTIMAID CAMOMILLA ";8500;"Prodotti igiene del corpo     ";1;22;0,00
"912453331    ";"ALOESIS CR MANI DERMOPROT 75ML";9900;"Prodotti per le mani          ";8;22;0,00
"921827224    ";"ALOESIS DETERGENTE CRP I 500ML";9900;"Prodotti igiene del corpo     ";7;22;0,00
"921386759    ";"ALOESIS SOLE DOPOSOLE 125ML   ";16900;"Prodotti solari               ";23;22;0,00
"921386785    ";"ALOESIS SOLE SPF 20 125ML     ";16900;"Prodotti solari               ";3;22;0,00
"921386797    ";"ALOESIS SOLE SPF 30 125ML     ";16900;"Prodotti solari               ";10;22;0,00
"921386809    ";"ALOESIS SOLE SPF 50+ 125ML    ";16900;"Prodotti solari               ";39;22;0,00
"934268210    ";"ALOFIN 20CPS                  ";22500;"Integratori alimentari";2;10;0,00
"930621901    ";"ALOVEX DENTIZIONE GEL 10ML    ";11000;"Prodotti sanitari             ";1;22;0,00
"930624301    ";"ALOVEX PROTEZ ATTIVA COLL120ML";10300;"Prodotti sanitari             ";1;22;0,00
"930625203    ";"ALOVEX PROTEZ ATTIVA GEL 8ML  ";10300;"Prodotti sanitari             ";1;22;0,00
"930625506    ";"ALOVEX PROTEZ ATTIVA SPR 15ML ";11900;"Prodotti sanitari             ";1;22;0,00
"931991513    ";"ALUNEB 15 FLACONCINI NEBUL ORL";15900;"Prodotti sanitari             ";1;22;0,00
"931402693    ";"ALUSEB LOZIONE 75ML           ";16000;"Prodotti capelli e cuoio cap. ";1;22;0,00
"932160637    ";"ALVITA SFIGMO BRACC PLUS 1PZ  ";89750;"Prodotti sanitari             ";5;22;0,00
"937492015    ";"ALVITA SFIGMO BRACCIO AUTOM   ";54950;"Strumenti sanitari            ";3;22;0,00
"905720658    ";"AMEDIAL BF 20BUST             ";19800;"Integratori alimentari";2;10;0,00
"931809952    ";"AMEDIAL PLUS 20BUST           ";19800;"Integratori alimentari";2;10;0,00
"921488146    ";"AMINEXIL PRO ANTICADUTA U 12FL";49490;"Prodotti capelli e cuoio cap. ";2;22;0,00
"905603092    ";"AMINOGAM GEL 15ML             ";16700;"Prodotti sanitari             ";1;22;0,00
"924264056    ";"AMPLIFICATORE ACUSTIKA DISCRET";99000;"Prodotti sanitari             ";6;4;0,00
"901041968    ";"AMPOLLA MB2 C/BOCC NAS 471080 ";12590;"Accessori agli art. sanitari  ";2;22;0,00
"908755073    ";"AMUCHINA 100% 250ML           ";4800;"Presidi medico-chirurgici     ";24;22;0,00
"908043209    ";"AMUCHINA 1000ML               ";10200;"Presidi medico-chirurgici     ";22;22;0,00
"908043250    ";"AMUCHINA 500ML                ";6500;"Presidi medico-chirurgici     ";7;22;0,00
"907281190    ";"AMUCHINA GEL IGIEN MANI 80ML  ";4000;"Prodotti per le mani          ";66;22;0,00
"905282214    ";"AMUCHINA SALVIETTE DISINF 7PZ ";3900;"Presidi medico-chirurgici     ";26;22;0,00
"902972759    ";"AMUSOAP SAP LIQ DISINF 250ML  ";7600;"Presidi medico-chirurgici     ";13;22;0,00
"907139366    ";"ANASTEN PLUS 20BUST           ";15000;"Integratori alimentari";1;10;0,00
"924174004    ";"ANEDOX 600 30CPR              ";23950;"Integratori alimentari";1;10;0,00
"930993276    ";"ANONET COFANETTO              ";12800;"Prodotti igiene del corpo     ";2;22;0,00
"938754999    ";"ANONET CREMA 50ML             ";11800;"Prodotti igiene del corpo     ";1;22;0,00
"930172756    ";"ANONET SALVIETTE 15PZ         ";4200;"Presidi medico-chirurgici     ";2;22;0,00
"922740345    ";"ANSELAX 14BUST                ";14000;"Integratori alimentari";1;10;0,00
"924268992    ";"ANSIOLEV 45CPR                ";16000;"Integratori alimentari";1;10;0,00
"913838874    ";"ANSIOTEN GOCCE 30ML           ";16900;"Integratori alimentari";2;22;0,00
"923298703    ";"ANSIOTEN JUNIOR 30ML          ";15900;"Integratori alimentari";1;22;0,00
"922987161    ";"ANSIPLUS GOCCE 30ML           ";13500;"Integratori alimentari";2;10;0,00
"922190929    ";"ANTHELIOS DPED SPRAY 50+ 200ML";22910;"Prodotti solari               ";2;22;0,00
"924527462    ";"ANTHELIOS FLU ULTRALEG XL50+50";21080;"Prodotti solari               ";1;22;0,00
"905944714    ";"ANTISTAX 30CPR                ";19500;"Integratori alimentari";1;10;0,00
"925329334    ";"ANTISTAX EXTRA FRESHGEL 125ML ";10700;"Prodotti per il corpo         ";12;22;0,00
"922378411    ";"ANTISTAX MASSAGE CREAM 125ML  ";10500;"Prodotti per il corpo         ";1;22;0,00
"920045109    ";"ANUREX CRIOTERAPIA EMORROIDI  ";25800;"Prodotti sanitari             ";6;22;0,00
"800020859    ";"APIS MELLIFICA 5CH GR         ";4200;"Prodotti omeopatici           ";1;10;0,00
"931592467    ";"APROPOS EFFERVESCENTE C 20CPR ";12500;"Integratori alimentari";2;10;0,00
"924127083    ";"APROPOS GOLA DEFENS S/ALC 20ML";8900;"Prodotti sanitari             ";1;22;0,00
"924287030    ";"APROPOS SEDITUSS ADULTI 210G  ";11900;"Prodotti sanitari             ";2;22;0,00
"924287042    ";"APROPOS SEDITUSS BAMBINI 210G ";11900;"Prodotti sanitari             ";2;22;0,00
"902209396    ";"APROTEN CHICCHI 500G          ";7790;"Prodotti dietetici            ";1;4;0,00
"902209360    ";"APROTEN FETTUCCINE 250G       ";4450;"Prodotti dietetici            ";1;4;0,00
"913865301    ";"APROTEN FROLLINI CACAO 180G   ";7750;"Prodotti dietetici            ";1;10;0,00
"902209257    ";"APROTEN GRISSINI 150G         ";4800;"Prodotti dietetici            ";1;10;0,00
"912032125    ";"APROTEN LINGUINE 500G         ";7790;"Prodotti dietetici            ";1;4;0,00
"925504781    ";"APROTEN PANE A FETTE 400G     ";6490;"Prodotti dietetici            ";1;10;0,00
"902209422    ";"APROTEN RIGATINI 500G         ";7790;"Prodotti dietetici            ";1;4;0,00
"902209461    ";"APROTEN SPAGHETTI 500G        ";7790;"Prodotti dietetici            ";1;4;0,00
"902225945    ";"APROTEN TAGLIATELLE 250G      ";4450;"Prodotti dietetici            ";1;4;0,00
"923664940    ";"APTAMIL 1 700G                ";21620;"Alimenti per la prima infanzia";2;10;0,00
"905368724    ";"APTAMIL 1 LIQUIDO 500ML       ";3210;"Alimenti per la prima infanzia";5;10;0,00
"923664953    ";"APTAMIL 2 700G                ";16710;"Alimenti per la prima infanzia";2;10;0,00
"904684560    ";"APTAMIL 2 LIQUIDO 500ML       ";2290;"Alimenti per la prima infanzia";1;10;0,00
"923664965    ";"APTAMIL 3 700G                ";14500;"Alimenti per la prima infanzia";1;10;0,00
"924845961    ";"APTAMIL CONFORMIL PLUS 600G   ";23490;"Alimenti per la prima infanzia";2;10;0,00
"930626748    ";"AQUA EMOFORM COLLUTORIO 300ML ";4900;"Prodotti igiene dentale       ";1;22;0,00
"909840629    ";"AQUAPIL CANOVA GEL DET 150ML  ";13300;"Prodotti viso/deterg./struc.  ";2;22;0,00
"921197517    ";"AQUAPRECIS GEL-CREME FRAICHEUR";20100;"Prodotti viso, trattamento    ";2;22;0,00
"907340451    ";"ARD COGITON 10FL 10ML         ";18600;"Integratori alimentari";1;10;0,00
"923211940    ";"ARGENTO COLLOID 40PPM 100ML   ";24000;"Prodotti sanitari             ";1;22;0,00
"902197932    ";"ARGIDAM 60TAV 600MG           ";19800;"Integratori alimentari";2;10;0,00
"939404265    ";"ARGOTONE 0-12 SOL NASALE 20ML ";9000;"Prodotti sanitari             ";1;22;0,00
"904452962    ";"ARMOLIPID 30CPR               ";22500;"Integratori alimentari";2;10;0,00
"904648060    ";"ARMOLIPID PLUS 20CPR          ";21900;"Integratori alimentari";5;10;0,00
"923293082    ";"ARNICA 30 PLUS GEL TUBO 75ML  ";12500;"Prodotti per il corpo         ";1;22;0,00
"909474912    ";"ARNICA COMP 50TAV HEEL        ";8900;"Prodotti omeopatici           ";1;10;0,00
"909474898    ";"ARNICA COMP POM 50G HEEL      ";12100;"Prodotti omeopatici           ";1;10;0,00
"909476451    ";"ARNIGEL GEL 45G               ";10300;"Prodotti omeopatici           ";2;10;0,00
"930605427    ";"ARTELAC LIPIDS GTT OCULARI10ML";18000;"Prodotti sanitari             ";2;22;0,00
"938261563    ";"ARTIGLIO DEL DIAVOLO 50OPR    ";17800;"Erboristeria salut. preconf.  ";1;10;0,00
"900800069    ";"ARTIGLIO DEL DIAVOLO GEL 100ML";11400;"Erboristeria salut. preconf.  ";1;22;0,00
"925604643    ";"ARTIGO 30CPR                  ";24500;"Integratori alimentari";1;10;0,00
"900470384    ";"ARTIKRILL 60PRL               ";32600;"Prodotti zootecnici           ";1;10;0,00
"912242512    ";"ARTRO AID FORTE 45CPS         ";19900;"Integratori alimentari";1;10;0,00
"903979906    ";"ASTAR 60CPS                   ";40000;"Integratori alimentari";2;10;0,00
"932742455    ";"ASTARTE 14CPS                 ";19000;"Integratori alimentari";1;10;0,00
"932717337    ";"ASTIPEG 20BUST                ";12400;"Prodotti sanitari             ";1;22;0,00
"923561690    ";"ATEROSTAR FORTE 20CPR         ";20000;"Integratori alimentari";1;10;0,00
"938590080    ";"ATOMIX SOL SALINA LAV NASALI30";10800;"Prodotti sanitari             ";2;22;0,00
"921671412    ";"AUDISPRAY ADULT S/GAS IG ORECC";10500;"Prodotti sanitari             ";1;22;0,00
"922411842    ";"AUTAN DOPOPUNTURA 25ML        ";7000;"Prodotti per il corpo         ";5;22;0,00
"904723739    ";"AUTAN FAMILY CARE J 100ML     ";9300;"Presidi medico-chirurgici     ";5;22;0,00
"904723778    ";"AUTAN FAMILY CARE SPR 100ML   ";9300;"Presidi medico-chirurgici     ";4;22;0,00
"905853469    ";"AUTAN FAMILY CARE VAPO 100ML  ";9300;"Presidi medico-chirurgici     ";6;22;0,00
"923419865    ";"AUTAN JUNIOR VAPO 100ML       ";9300;"Presidi medico-chirurgici     ";2;22;0,00
"905853558    ";"AUTAN PROTECTION PLUS VAPO 100";9900;"Presidi medico-chirurgici     ";4;22;0,00
"922411879    ";"AUTAN TROPICAL SPRAY SEC 100ML";9900;"Presidi medico-chirurgici     ";1;22;0,00
"930629326    ";"AUTAN TROPICAL VAPO 100ML     ";9900;"Presidi medico-chirurgici     ";7;22;0,00
"930880149    ";"AVEENO BABY BAGNETTO TESTA PIE";9990;"Prodotti igiene del bambino   ";1;22;0,00
"930863562    ";"AVEENO BABY BARRIER 100ML     ";6990;"Prodotti igiene del bambino   ";1;22;0,00
"913645230    ";"AVEENO BABY CREMA IDRATANTE   ";10490;"Prodotti igiene del bambino   ";2;22;0,00
"930960416    ";"AVEENO BABY FLUID 500ML       ";12490;"Prodotti igiene del bambino   ";1;22;0,00
"913645267    ";"AVEENO BABY LATTE 250ML       ";8990;"Prodotti igiene del bambino   ";2;22;0,00
"911988501    ";"AVEENO INTIMO PN DET INTI250ML";7490;"Prodotti igiene del corpo     ";1;22;0,00
"930863586    ";"AVEENO INTIMO PN DET INTI500ML";10990;"Prodotti igiene del corpo     ";1;22;0,00
"911988513    ";"AVEENO QUOT PN DETERGENTE LIQ ";8990;"Prodotti viso/deterg./struc.  ";1;22;0,00
"900454582    ";"AVEENO QUOT PN IDRAT CORPO LAV";11000;"Prodotti per il corpo         ";1;22;0,00
"900454543    ";"AVEENO TERAP CR LENIT MENTOLO ";14410;"Prodotti per il corpo         ";1;22;0,00
"911988549    ";"AVEENO TERAP CREAM 100ML      ";13340;"Prodotti per il corpo         ";1;22;0,00
"913821702    ";"AVEENO TERAP DERMEXA CR IDRAT ";18150;"Prodotti per il corpo         ";1;22;0,00
"901867251    ";"AVENA DECORTICATA 500G        ";2120;"Prodotti dietetici            ";1;10;0,00
"930526607    ";"AVENE CREMA NUTRITIVA COMP RIC";29000;"Prodotti viso, trattamento    ";2;22;0,00
"931040935    ";"AVENE HOMME CREMA BARBA 100ML ";10900;"Prodotti per uomo             ";1;22;0,00
"905714349    ";"AVENE HOMME DERMO-K TRATT A/FO";17300;"Prodotti per uomo             ";1;22;0,00
"904913288    ";"AVENE HOMME SCHIUMA BARBA 200M";10900;"Prodotti per uomo             ";2;22;0,00
"903921625    ";"AVENE LATTE DET DEL 200ML     ";17100;"Prodotti viso/deterg./struc.  ";1;22;0,00
"931771669    ";"AVENE LOZIONE DET PELLI INTOLL";17100;"Prodotti igiene del corpo     ";1;22;0,00
"939585939    ";"AVENE SOL CREMA 30 50ML       ";19000;"Prodotti solari               ";1;22;0,00
"930265309    ";"AVENE TRIACNEAL 30ML          ";16500;"Prodotti viso, trattamento    ";1;22;0,00
"931847685    ";"AVENT BIBERON NATURAL 125ML   ";9580;"Parafarmaci";2;22;0,00
"931847762    ";"AVENT BIBERON NATURAL VT 120ML";10590;"Parafarmaci";1;22;0,00
"931847774    ";"AVENT BIBERON NATURAL VT 240ML";11600;"Parafarmaci";2;22;0,00
"906021086    ";"AVENT CONCHIGL RACCOGLILATTE2P";14620;"Ausili sanitari               ";6;22;0,00
"902129067    ";"AVENT COPPET ASS LAV+SACCH 6PZ";6960;"Ausili sanitari               ";3;22;0,00
"901734828    ";"AVENT NIPLETTE 2PZ            ";40330;"Parafarmaci";1;22;0,00
"905431173    ";"AVENT PARACAPEZ FARF MINI 2 NM";7560;"Parafarmaci";5;22;0,00
"905430690    ";"AVENT TETT FLU MEDIO 3F NM 2PZ";7050;"Parafarmaci";2;22;0,00
"905430726    ";"AVENT TETT FLUS VARIABI 2PZ NM";7050;"Parafarmaci";1;22;0,00
"931847800    ";"AVENT TETT NATURAL FLU LENT 2P";7050;"Parafarmaci";3;22;0,00
"931847786    ";"AVENT TETT NATURAL PRIME PO 2P";7050;"Parafarmaci";2;22;0,00
"931847848    ";"AVENT TIRALATTE NATURAL MANUAL";55350;"Parafarmaci";1;22;0,00
"908017054    ";"AZ 15 GENGIDENTIF 100ML       ";4200;"Prodotti igiene dentale       ";2;22;0,00
"931143388    ";"AZYR MEGA 20CPS               ";22600;"Integratori alimentari";2;10;0,00
"934191697    ";"BABY RELAX TENDINA PARASOLE   ";15500;"Parafarmaci";1;22;0,00
"930660663    ";"BABYFOOD BORRACCIA TERMICA BLU";23000;"Parafarmaci";1;22;0,00
"930660675    ";"BABYFOOD BORRACCIA TERMICA RA ";23000;"Parafarmaci";1;22;0,00
"931493732    ";"BABYFOOD BORRACCIA TERMICA RO ";23000;"Parafarmaci";1;22;0,00
"933939225    ";"BABYFOOD PORTABIB TERM BLU    ";39000;"Parafarmaci";1;22;0,00
"933939213    ";"BABYFOOD PORTABIB TERM RA     ";39000;"Parafarmaci";1;22;0,00
"921222461    ";"BABYFOOD PORTAPAPPA TERM ROSA ";22200;"Parafarmaci";1;22;0,00
"931493720    ";"BABYFOOD PORTAPAPPA TERMICO RO";23000;"Parafarmaci";1;22;0,00
"932542071    ";"BABYFOOD SET PAPPA 5IN1 BLU   ";22900;"Parafarmaci";1;22;0,00
"932542095    ";"BABYFOOD SET PAPPA 5IN1 VERDE ";22900;"Parafarmaci";1;22;0,00
"901088169    ";"BABYGELLA BAGNO DELICATO 500ML";10500;"Prodotti igiene del bambino   ";7;22;0,00
"900266040    ";"BABYGELLA BAGNO PRIMI MESI 200";7000;"Prodotti igiene del bambino   ";2;22;0,00
"908077454    ";"BABYGELLA CR IDRAT PROT 50ML  ";6500;"Prodotti igiene del bambino   ";2;22;0,00
"938211481    ";"BABYGELLA NOALL PAS TRATT 75ML";10000;"Prodotti igiene del bambino   ";1;22;0,00
"908338231    ";"BABYGELLA OLIO IDRAT SPR 125ML";8500;"Prodotti igiene del bambino   ";3;22;0,00
"908077466    ";"BABYGELLA PASTA PROTETT 150ML ";9500;"Prodotti igiene del bambino   ";12;22;0,00
"908078417    ";"BABYGELLA PASTA TUBO 100ML    ";6900;"Prodotti igiene del bambino   ";1;22;0,00
"901088094    ";"BABYGELLA SH DELICATO 250ML   ";7000;"Prodotti igiene del bambino   ";2;22;0,00
"933331389    ";"BABYGELLA SILVER CR LENIT 100M";10900;"Prodotti igiene del bambino   ";1;22;0,00
"921222562    ";"BABYHUG AZZURRO               ";36500;"Parafarmaci";1;22;0,00
"921222574    ";"BABYHUG ROSA                  ";36500;"Parafarmaci";1;22;0,00
"909095806    ";"BABYRACH SACCH FEMM STER 1PZ  ";800;"Ausili sanitari               ";3;22;0,00
"909095794    ";"BABYRACH SACCH MASCH STER 1PZ ";800;"Ausili sanitari               ";2;22;0,00
"900200534    ";"BALANIL GEL 30ML              ";19500;"Prodotti sanitari             ";1;22;0,00
"931058782    ";"BALANIL LAVAGGIO 100ML NF     ";8500;"Prodotti igiene del corpo     ";1;22;0,00
"923326019    ";"BAMBOLA PEZZA 24 CM BIONDA    ";21900;"Parafarmaci";1;22;0,00
"923326021    ";"BAMBOLA PEZZA 24 CM MORA      ";21900;"Parafarmaci";2;22;0,00
"906114350    ";"BARDANA 60CPS 500MG           ";10900;"Erboristeria salut. preconf.  ";1;10;0,00
"921131951    ";"BARDANAVIS LIQUIDO 200ML      ";22000;"Integratori alimentari";1;22;0,00
"905896775    ";"BASTONCINO PULIZ CAVO OR 5PZ  ";1900;"Prodotti sanitari             ";1;22;0,00
"923481840    ";"BAVAGLINO                     ";10070;"Parafarmaci";4;22;0,00
"934027552    ";"BE QUIET NOTTE 1MG 20BUST 1,3G";13900;"Integratori alimentari";13;10;0,00
"933418737    ";"BEAUTY BETA CAROTENE 100PRL   ";13500;"Integratori alimentari";3;10;0,00
